需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注
TP-006,范本管理,范本-业务流程-发布预览下载日志删除,功能,§页面层级-范本管理-业务流程-5,实现「范本-业务流程-发布预览下载日志删除」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-007,范本管理,细粒度-新建范本,功能,§细粒度-范本管理-点击「新建范本」,实现「细粒度-新建范本」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-008,范本管理,细粒度-导入文档-预览解析,功能,§细粒度-范本管理-导入文档-预览,实现「细粒度-导入文档-预览解析」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-009,范本管理,细粒度-导入文档-确认导入并编辑,功能,§细粒度-范本管理-导入文档-确认导入,实现「细粒度-导入文档-确认导入并编辑」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-010,范本管理,细粒度-范本列表筛选,功能,§细粒度-范本管理-范本列表筛选,实现「细粒度-范本列表筛选」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-011,范本管理,细粒度-范本发布,功能,§细粒度-范本管理-点击「发布」,实现「细粒度-范本发布」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-012,范本管理,细粒度-范本编辑-WPS WebOffice,功能,§细粒度-范本管理-点击「编辑」,实现「细粒度-范本编辑-WPS WebOffice」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-013,范本管理,细粒度-保存并返回,功能,§细粒度-范本管理-点击「保存并返回」,实现「细粒度-保存并返回」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-014,范本管理,细粒度-范本预览,功能,§细粒度-范本管理-点击「预览」,实现「细粒度-范本预览」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-015,范本管理,细粒度-范本下载,功能,§细粒度-范本管理-点击「下载」,实现「细粒度-范本下载」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-016,范本管理,细粒度-删除范本,功能,§细粒度-范本管理-点击「删除范本」,实现「细粒度-删除范本」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
TP-017,范本管理,细粒度-范本操作日志,功能,§细粒度-范本管理-点击「范本操作日志」,实现「细粒度-范本操作日志」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-001,在线编辑（WPS）,在线编辑-综述-WebOffice与回调落盘回写章节,功能,§页面层级-在线编辑（WPS）-综述,实现「在线编辑-综述-WebOffice与回调落盘回写章节」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-002,在线编辑（WPS）,在线编辑-业务流程-获取编辑链接打开 WebOffice,集成,§页面层级-在线编辑-业务流程-1,实现「在线编辑-业务流程-获取编辑链接打开 WebOffice」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-003,在线编辑（WPS）,在线编辑-业务流程-回调加载文件元数据,集成,§页面层级-在线编辑-业务流程-2,实现「在线编辑-业务流程-回调加载文件元数据」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-004,在线编辑（WPS）,在线编辑-业务流程-侧栏插入资源与变量及兜底,功能,§页面层级-在线编辑-业务流程-3,实现「在线编辑-业务流程-侧栏插入资源与变量及兜底」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-005,在线编辑（WPS）,在线编辑-业务流程-上传新版本回调与解析回写,集成,§页面层级-在线编辑-业务流程-4,实现「在线编辑-业务流程-上传新版本回调与解析回写」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-006,在线编辑（WPS）,在线编辑-业务流程-返回列表后续预览下载发布,功能,§页面层级-在线编辑-业务流程-5,实现「在线编辑-业务流程-返回列表后续预览下载发布」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-007,在线编辑（WPS）,细粒度-插入资源,功能,§细粒度-在线编辑-插入资源,实现「细粒度-插入资源」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
WE-008,在线编辑（WPS）,细粒度-插入变量,功能,§细粒度-在线编辑-插入变量,实现「细粒度-插入变量」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
PU-001,公共交互规范,公共-列表分页与空态,功能,§公共交互规范-列表与分页,实现「公共-列表分页与空态」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
PU-002,公共交互规范,公共-筛选搜索与状态标签,功能,§公共交互规范-列表与分页,实现「公共-筛选搜索与状态标签」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
PU-003,公共交互规范,公共-高风险操作二次确认,功能,§公共交互规范-弹窗规范,实现「公共-高风险操作二次确认」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
PU-004,公共交互规范,公共-日志弹窗字段口径,功能,§公共交互规范-弹窗规范,实现「公共-日志弹窗字段口径」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
PU-005,公共交互规范,公共-异步操作加载成功失败态,功能,§公共交互规范-提示反馈,实现「公共-异步操作加载成功失败态」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
PU-006,公共交互规范,公共-错误提示可理解可恢复,功能,§公共交互规范-提示反馈,实现「公共-错误提示可理解可恢复」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-001,全局规则,全局-总目标闭环,规则,§全局规则-总目标,实现「全局-总目标闭环」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-002,全局规则,全局-规则1-资源状态枚举,规则,§全局规则-规则1,实现「全局-规则1-资源状态枚举」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-003,全局规则,全局-规则1-范本状态枚举,规则,§全局规则-规则1,实现「全局-规则1-范本状态枚举」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-004,全局规则,全局-规则1-校验执行反馈,规则,§全局规则-规则1,实现「全局-规则1-校验执行反馈」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-005,全局规则,全局-规则2-归档快照不受资源变更影响,规则,§全局规则-规则2,实现「全局-规则2-归档快照不受资源变更影响」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-006,全局规则,全局-规则2-资源更新仅联动非归档范本,规则,§全局规则-规则2,实现「全局-规则2-资源更新仅联动非归档范本」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-007,全局规则,全局-规则2-绑定去重与禁止向归档范本绑定,规则,§全局规则-规则2,实现「全局-规则2-绑定去重与禁止向归档范本绑定」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-008,全局规则,全局-规则2细化-适用范围,规则,§全局规则-规则2-细化-适用范围,实现「全局-规则2细化-适用范围」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-009,全局规则,全局-规则2细化-快照原则,规则,§全局规则-规则2-细化-快照原则,实现「全局-规则2细化-快照原则」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-010,全局规则,全局-规则2细化-联动范围,规则,§全局规则-规则2-细化-联动范围,实现「全局-规则2细化-联动范围」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-011,全局规则,全局-规则2细化-绑定约束,规则,§全局规则-规则2-细化-绑定约束,实现「全局-规则2细化-绑定约束」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-012,全局规则,全局-规则3-关键动作审计日志,规则,§全局规则-规则3,实现「全局-规则3-关键动作审计日志」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-013,全局规则,全局-规则3-失败必须提示,规则,§全局规则-规则3,实现「全局-规则3-失败必须提示」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
GL-014,全局规则,全局-规则3-失败回退方案,规则,§全局规则-规则3,实现「全局-规则3-失败回退方案」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-001,接口与集成（文档中台）,集成-规范性引用-文档中台与 WPS 云文档,集成,§接口与集成-规范性引用,实现「集成-规范性引用-文档中台与 WPS 云文档」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-002,接口与集成（文档中台）,集成-获取在线编辑链接-open-api,集成,§接口与集成-文档中台侧关键接口-获取在线编辑链接,实现「集成-获取在线编辑链接-open-api」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-003,接口与集成（文档中台）,集成-开放接口请求头-WPS-4 签名,集成,§接口与集成-文档中台侧关键接口-通用请求头,实现「集成-开放接口请求头-WPS-4 签名」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-004,接口与集成（文档中台）,集成-回调必须实现-文件元数据与新版本保存,集成,§接口与集成-文档中台侧关键接口-回调清单,实现「集成-回调必须实现-文件元数据与新版本保存」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-005,接口与集成（文档中台）,集成-可选-在线预览能力,集成,§接口与集成-文档中台侧关键接口-在线预览,实现「集成-可选-在线预览能力」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-006,接口与集成（文档中台）,集成-业务衔接-file_id 与范本映射,集成,§接口与集成-业务系统衔接-file_id,实现「集成-业务衔接-file_id 与范本映射」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-007,接口与集成（文档中台）,集成-业务衔接-保存闭环解析章节树,集成,§接口与集成-业务系统衔接-保存闭环,实现「集成-业务衔接-保存闭环解析章节树」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-008,接口与集成（文档中台）,集成-业务衔接-内部 API 演进策略,集成,§接口与集成-业务系统衔接-品类接口,实现「集成-业务衔接-内部 API 演进策略」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-009,接口与集成（文档中台）,集成要求-中台地址证书 ak/sk 与回调可达,集成,§接口与集成-集成要求,实现「集成要求-中台地址证书 ak/sk 与回调可达」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-010,接口与集成（文档中台）,集成要求-回调结构与错误码遵循中台文档,集成,§接口与集成-集成要求,实现「集成要求-回调结构与错误码遵循中台文档」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-011,接口与集成（文档中台）,集成要求-导入保存下载链路可观测,集成,§接口与集成-集成要求,实现「集成要求-导入保存下载链路可观测」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
INT-012,接口与集成（文档中台）,附录-文档中台错误码与回调错误码索引,集成,§文档体系常见附件-接口错误与 HTTP 状态分类,实现「附录-文档中台错误码与回调错误码索引」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
NFR-001,非功能需求,非功能-性能-操作时延可接受,非功能,§非功能需求-性能,实现「非功能-性能-操作时延可接受」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
NFR-002,非功能需求,非功能-性能-长耗时进度反馈,非功能,§非功能需求-性能,实现「非功能-性能-长耗时进度反馈」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
NFR-003,非功能需求,非功能-稳定-编辑保存导出连续执行,非功能,§非功能需求-稳定性,实现「非功能-稳定-编辑保存导出连续执行」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
NFR-004,非功能需求,非功能-稳定-失败兜底与恢复,非功能,§非功能需求-稳定性,实现「非功能-稳定-失败兜底与恢复」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
NFR-005,非功能需求,非功能-可维护-模块边界清晰,非功能,§非功能需求-可维护性,实现「非功能-可维护-模块边界清晰」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
NFR-006,非功能需求,非功能-可维护-命名可追溯,非功能,§非功能需求-可维护性,实现「非功能-可维护-命名可追溯」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-001,验收标准（交叉）,验收-功能-页面闭环与资源到范本,验收,§验收标准-功能验收,实现「验收-功能-页面闭环与资源到范本」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-002,验收标准（交叉）,验收-功能-不验收范本到招标文件,验收,§验收标准-功能验收,实现「验收-功能-不验收范本到招标文件」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-003,验收标准（交叉）,验收-功能-导入编辑发布预览下载,验收,§验收标准-功能验收,实现「验收-功能-导入编辑发布预览下载」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-004,验收标准（交叉）,验收-交互-布局导航与确认反馈,验收,§验收标准-交互验收,实现「验收-交互-布局导航与确认反馈」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-005,验收标准（交叉）,验收-交互-日志分页筛选一致,验收,§验收标准-交互验收,实现「验收-交互-日志分页筛选一致」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-006,验收标准（交叉）,验收-一致性-归档不受资源影响,验收,§验收标准-一致性验收,实现「验收-一致性-归档不受资源影响」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-007,验收标准（交叉）,验收-一致性-日志可追溯,验收,§验收标准-一致性验收,实现「验收-一致性-日志可追溯」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
ACC-008,验收标准（交叉）,验收-一致性-状态变化版本快照依据,验收,§验收标准-一致性验收,实现「验收-一致性-状态变化版本快照依据」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
OUT-BID-001,（非本期）招标文件,（非本期）范本生成招标文件-占位,验收,§范围说明-非本期范围,实现「（非本期）范本生成招标文件-占位」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
OUT-BID-002,（非本期）招标文件,（非本期）变量回填与成品导出-占位,验收,§范围说明-非本期范围,实现「（非本期）变量回填与成品导出-占位」：行为与 PRD 引用段落一致；验收细则以 PRD 该节为准。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,
