需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注
DATA-001,数据要素,品类树 Industry/ProcurementCategory/Category,数据,§数据要素-核心实体-品类树,系统须持久化并维护「产业领域→采购分类→品类」三级树结构，作为范本与资源的归属主数据。,品类同步或初始化数据可用；业务上已明确层级命名规则。,能在界面展示三级树且节点可展开；范本/资源表单品类选择与树节点一致；删除与审计口径与 PRD 数据要素一致。,,,,
DATA-002,数据要素,资源 TextFragment/TextBinding/TextVersion,数据,§数据要素-核心实体-资源,资源侧实体包含条款正文、与范本章节的绑定关系及版本快照，支撑草稿/发布与联动更新。,至少存在一个资源类型模块（文本/资格/评标/合同之一）已启用。,资源具备 content/draftContent、bindings、versions 等字段语义；发布后对非归档范本的联动行为符合全局规则。,,,,
DATA-003,数据要素,范本 Template/TemplateSection/TemplateVariable,数据,§数据要素-核心实体-范本,范本由模板、章节树、变量定义等组成，并与品类及 DOCX 编辑内容关联。,已选择品类且可创建草稿范本。,范本可维护 sections、variables、editProgress；状态含草稿/已发布/已归档；归档后章节快照只读。,,,,
DATA-004,数据要素,招标文件 BidDocument/VariableValue（预留）,数据,§数据要素-核心实体-招标文件,招标文件实体为本期预留数据模型，用于后续「范本→招标文件」扩展，不在本期功能验收范围内。,PRD 已标注预留；产品路线确认暂缓实现。,设计评审记录中明确本期不对 BidDocument 做功能开发；类型定义或库表可为空实现或仅占位。,,,,
DATA-005,数据要素,审计 DataAuditEntry,数据,§数据要素-核心实体-审计,审计日志记录关键操作，支撑合规追溯与问题排查。,关键业务接口已接入写日志调用点（或统一拦截）。,日志含 scope、action、entityId、actor、detail 等约定字段；可按实体 ID 查询且与 PRD 示例一致。,,,,
DATA-006,数据要素,通用字段 id/name/status/时间戳/逻辑删除,数据,§数据要素-关键字段-通用,业务实体普遍具备标识、名称、状态及生命周期时间与逻辑删除标记，保证列表与审计一致。,实体建模阶段已确定命名规范。,抽查任意核心实体：存在 id、name、status、createdAt、updatedAt；删除为逻辑删除时可追溯 deletedAt/deletedBy。,,,,
DATA-007,数据要素,资源字段 content/draftContent/versions/bindings,数据,§数据要素-关键字段-资源,资源业务字段支撑草稿/正式稿双轨、版本列表及与范本的绑定集合。,存在至少一条资源记录用于验证。,草稿编辑写入 draftContent；发布写入 content 并生成 versions；bindings 与绑定弹窗展示一致。,,,,
DATA-008,数据要素,范本字段 categoryId/version/editProgress/sections/variables,数据,§数据要素-关键字段-范本,范本业务字段支撑归属品类、版本、编辑进度及章节与变量容器。,存在草稿或已发布范本。,categoryId 与品类一致；version/editProgress 与界面展示一致；sections/variables 与编辑器回写结果一致。,,,,
DATA-009,数据要素,招标文件字段（预留）templateId/variableValues/sections,数据,§数据要素-关键字段-招标文件,招标文件侧字段预留，用于后续模板 ID、变量赋值及章节落地；本期不对最终用户功能验收。,路线图为后续迭代。,评审确认本期实现可不持久化该组字段或仅占位；无对外「生成招标文件」菜单验收。,,,,
DATA-010,数据要素,审计字段 scope/action/entityId/actor/detail,数据,§数据要素-关键字段-审计,审计条目字段需能唯一定位「谁在何时对何对象做了什么」。,审计写入链路已打通。,随机抽取日志：可解析 scope、action、entityId、actor、detail；时间排序正确。,,,,
TERM-001,术语与附录,产业领域 (Industry),术语,§文档附件-术语表-产业领域,「产业领域」指品类树第一级节点，对外沟通与界面文案须与此一致。,PRD 术语表已发布。,用户文档/界面_help 中「产业领域」含义与 PRD 术语表一致；培训材料引用无歧义。,,,,
TERM-002,术语与附录,采购分类 (ProcurementCategory),术语,§文档附件-术语表-采购分类,「采购分类」指品类树第二级节点，下级挂品类。,术语表可用。,界面标签与需求评审材料用语一致；中英文对照与 PRD 表格一致。,,,,
TERM-003,术语与附录,品类 (Category),术语,§文档附件-术语表-品类,「品类」为叶子节点，范本与资源必须归属某一品类。,主数据已加载。,新建范本/资源必选品类；统计口径按品类聚合时与定义一致。,,,,
TERM-004,术语与附录,资源,术语,§文档附件-术语表-资源,「资源」指四类可复用条款及其公共状态（草稿/已发布）。,资源菜单可达。,跨模块沟通使用「资源」一词时含义覆盖四类子模块除非另行说明。,,,,
TERM-005,术语与附录,文本片段 (TextFragment),术语,§文档附件-术语表-文本片段,「文本片段」为类型名 TextFragment，对应界面「文本管理」。,开发/测试阅读同一术语表。,接口或代码注释与界面菜单指向一致；新人FAQ可追溯本条。,,,,
TERM-006,术语与附录,绑定 / TextBinding,术语,§文档附件-术语表-绑定,「绑定」表示资源与范本章节的引用关系，且须去重并遵守归档约束。,存在绑定操作场景。,同一范本同一章节同一资源不重复绑定；归档范本不出现在可选绑定目标中。,,,,
TERM-007,术语与附录,范本 (Template),术语,§文档附件-术语表-范本,「范本」即结构化招标文件范本载体，含章节与变量。,范本列表可用。,状态枚举仅使用 PRD 约定（草稿/已发布/已归档）；与数据要素 Template 一致。,,,,
TERM-008,术语与附录,范本章节 (TemplateSection),术语,§文档附件-术语表-范本章节,「范本章节」为范本内层级章节及正文容器。,存在章节树编辑或预览。,预览/下载展示的章节层级与存储 sections 一致；标题路径可追溯。,,,,
TERM-009,术语与附录,变量 / TemplateVariable,术语,§文档附件-术语表-变量,「变量」即 TemplateVariable，正文占位符形式与变量定义一致。,编辑器变量库可用。,插入占位符与变量清单匹配；本期不验收「招标文件填充」成品链路。,,,,
TERM-010,术语与附录,章节快照,术语,§文档附件-术语表-章节快照,「章节快照」指范本归档时固化的正文，用于防漂移。,存在已归档范本样本。,归档后修改资源库不改变该范本预览/下载内容；快照内容与归档时刻一致。,,,,
TERM-011,术语与附录,归档（范本状态）,术语,§文档附件-术语表-归档,「归档」为范本只读留痕状态，停止资源联动与新绑定。,有一条归档路径（若功能提供）。,归档范本不出现于绑定可选列表；资源发布不再改写其章节。,,,,
TERM-012,术语与附录,解除归档,术语,§文档附件-术语表-解除归档,「解除归档」将范本恢复可编辑（若提供按钮），重新适用草稿/已发布规则。,功能已实现且有权操作。,解除后可编辑、可再次被资源联动；审计记录有一次解除动作。,,,,
TERM-013,术语与附录,WPS 文档中台,术语,§文档附件-术语表-WPS文档中台,「WPS 文档中台」指集团文档协同能力平台，在线编辑目标集成对象。,已具备接入文档与网络策略说明。,集成方案评审采用本文档与《文档中台接口文档》表述一致；不以其他编辑器为验收口径。,,,,
TERM-014,术语与附录,WebOffice,术语,§文档附件-术语表-WebOffice,「WebOffice」指通过获取编辑链接打开的在线 Office 页面形态。,已能拉起编辑链接。,编辑入口打开的 URL 形态符合中台约定；用户可见为在线文档而非裸下载页。,,,,
TERM-015,术语与附录,WPS-4 签名,术语,§文档附件-术语表-WPS-4签名,「WPS-4 签名」为调用中台开放 API 时的鉴权方式，配合 ak/sk。,已发放 ak/sk。,调用获取编辑链接等接口时请求头含合法 Wps-Docs-Authorization；非法签名被拒绝并有可诊断返回。,,,,
TERM-016,术语与附录,回调地址,术语,§文档附件-术语表-回调地址,「回调地址」指业务系统向中台注册的基址及默认 URI 拼接规则。,应用管理平台可配置回调。,中台文档打开/保存能命中业务回调；切换环境时回调域名与白名单同步更新。,,,,
TERM-017,术语与附录,审计日志,术语,§文档附件-术语表-审计日志,「审计日志」即 DataAuditEntry 体系下的操作留痕。,审计写入已启用。,日志弹窗字段含时间、操作人、类型、说明；与术语定义可追溯。,,,,
TERM-018,术语与附录,PRD,术语,§文档附件-术语表-PRD,「PRD」指本产品需求规格说明书本文档。,文档版本受控。,对外评审引用版本号与仓库/印刷版一致；变更走修订记录。,,,,
TERM-019,术语与附录,API,术语,§文档附件-术语表-API,「API」含文档中台开放接口与业务回调实现，讨论接口时需区分两类。,接口清单已整理。,联调文档中标注接口归属（中台开放 vs 业务回调 vs 内部）；无混用语导致误测。,,,,
TERM-020,术语与附录,DOCX,术语,§文档附件-术语表-DOCX,「DOCX」为范本与编辑器的默认文件格式载体。,导入/导出链路可用。,下载扩展名为 .docx 且可被 Word/WPS 打开；损坏文件有错误提示。,,,,
TERM-021,术语与附录,ak / sk,术语,§文档附件-术语表-ak-sk,「ak/sk」指应用管理平台颁发的 access_key 与 secret_key，用于签名。,密钥已下发且保密存储。,密钥轮换后旧密钥按期失效；配置项不外泄到前端_bundle。,,,,
ROLE-001,角色与职责,业务管理员-品类与基础配置,角色,§角色与职责-业务管理员,业务管理员负责品类树及相关基础配置维护（与 PRD 角色一致）。,账号赋予对应菜单权限（若实现权限）。,具备品类同步、查看同步日志等能力；操作写入审计（若已建模）。,,,,
ROLE-002,角色与职责,资源维护人员-条款与绑定范本,角色,§角色与职责-资源维护人员,资源维护人员维护四类条款并完成与范本章节的绑定。,可访问资源管理各子菜单。,可完成新建→发布→绑定→查看日志闭环；绑定受归档规则约束。,,,,
ROLE-003,角色与职责,范本编制人员-范本创建导入编辑发布,角色,§角色与职责-范本编制人员,范本编制人员创建/导入/编辑/发布范本并下载预览。,可访问范本管理与编辑器。,可完成新建或导入→编辑→保存→列表更新；无权操作时不展示按钮（若启用权限）。,,,,
ROLE-004,角色与职责,招标编制人员（后续迭代）,角色,§角色与职责-招标编制人员,招标编制人员用于后续「范本→招标文件」场景；本期 PRD 标注不涉及该链路。,路线图确认暂缓。,本期验收不要求该角色完成端到端招标文件生成；界面可不展示或灰显相关入口。,,,,
ROLE-005,角色与职责,审计与运维-日志与追踪,角色,§角色与职责-审计与运维,审计与运维人员查看日志、追踪关键操作以支持问题定位。,可访问各模块日志入口。,可检索同步日志、资源日志、范本日志中的关键字段；导出或分页可用。,,,,
SCOPE-001,范围说明,本期-数据看板,范围,§范围说明-本期范围-数据看板,本期交付包含数据看板能力（统计与待办展示）。,迭代纳入本期里程碑。,菜单可见「数据看板」且页面符合 PRD 页面层级描述；无剔除未经变更评审。,,,,
SCOPE-002,范围说明,本期-品类管理,范围,§范围说明-本期范围-品类管理,本期交付包含品类管理能力（树、搜索、同步、日志）。,同上。,品类页功能与细粒度清单一致；同步接口可调用或 mock 符合契约。,,,,
SCOPE-003,范围说明,本期-资源管理四类,范围,§范围说明-本期范围-资源管理,本期交付包含资源管理四类子模块及通用能力。,同上。,四个子菜单均可进入并完成资源核心闭环；与 PRD 非本期条款无冲突。,,,,
SCOPE-004,范围说明,本期-范本管理（新建导入编辑等）,范围,§范围说明-本期范围-范本管理,本期交付包含范本管理（新建、导入、编辑、预览、下载、发布、删除、日志等）。,同上。,范本列表与编辑器入口可用；不包含「生成招标文件成品」验收。,,,,
SCOPE-005,范围说明,本期-公共能力,范围,§范围说明-本期范围-公共能力,本期交付包含公共能力：筛选、分页、弹窗、审计日志、状态展示等。,同上。,关键列表具备分页与空态；高风险操作二次确认；异步操作三态反馈满足 PRD。,,,,
SCOPE-006,范围说明,非本期-范本生成招标文件端到端,范围,§范围说明-非本期范围-范本生成招标文件,明确不在本期：基于范本生成招标文件及变量定稿成品导出等端到端能力。,范围基线已锁定。,验收用例集中不出现「生成招标文件成品」必须通过项；若代码占位需标注非本期。,,,,
SCOPE-007,范围说明,非本期-组织级权限与审批流,范围,§范围说明-非本期范围-组织级权限,明确不在本期：组织级权限模型与审批流引擎。,同上。,不提供多租户组织审批编排；若仅有简单按钮权限需在文档中声明为非本期等价物。,,,,
SCOPE-008,范围说明,非本期-多人实时协同冲突,范围,§范围说明-非本期范围-多人协同,明确不在本期：多人实时协同编辑冲突自动合并策略。,同上。,验收不要求 OT/锁冲突自动化；最多验证单用户或覆盖提示策略。,,,,
SCOPE-009,范围说明,非本期-分布式存储与多租户,范围,§范围说明-非本期范围-多租户,明确不在本期：后端分布式存储与多租户隔离。,同上。,架构文档标注单机/本地存储局限；性能与非功能需求与此一致。,,,,
REF-001,规范性引用,规范性引用-《文档中台接口文档》,集成,§接口与集成-规范性引用-文档中台接口文档,在线编辑与开放接口对接须遵循《文档中台接口文档》的 API、签名与错误码体系。,已获取文档有效版本号（如 v7.x）。,联调检查清单含：获取编辑链接、回调路径、错误码对照表引用页码或章节。,,,,
REF-002,规范性引用,规范性引用-《WPS云文档接入文档(2)》,集成,§接口与集成-规范性引用-WPS云文档接入,网络与中台地址、网闸、DNS 及申请流程须遵循《WPS云文档接入文档(2)》。,运维已开通策略或具备测试环境地址。,telnet/DNS 检查记录可查；生产割接前具备测试环境验证记录。,,,,
REF-003,规范性引用,集成要求-中台证书 ak/sk 回调可达,集成,§接口与集成-集成要求-部署与回调,集成验收要求：中台服务可达、授权证书有效、ak/sk 可用、回调 URL 对中台可达。,证书与密钥已配置在目标环境。,用例：拉取编辑链接成功；回调域名在中台侧探测可达；证书到期前有监控或人工台账。,,,,
REF-004,规范性引用,集成要求-回调结构与错误码遵循中台,集成,§接口与集成-集成要求-返回结构与错误码,业务回调返回结构、错误码须符合中台文档《回调错误码》等章节。,回调实现已完成初版。,模拟中台请求回调：成功/失败 JSON 字段齐全；与《错误码说明》抽检一致。,,,,
ERR-001,接口错误口径,接口分层-文档中台开放 API code/msg/request_id,集成,§文档附件-接口错误-约定-开放API,文档中台开放 API 的成功响应须包含 code、msg、request_id 等约定字段，便于排障。,可抓取一次真实 HTTP 响应。,成功样例中 code=200（或文档约定成功码）；日志可按 request_id 关联。,,,,
ERR-002,接口错误口径,接口分层-业务回调 code/message/details/hint,集成,§文档附件-接口错误-约定-回调,业务系统实现的回调接口在异常时返回 code、message、details、hint 等约定字段。,可构造异常入参触发回调分支。,异常样例含上述字段；hint 在需要时出现（如 40007）。,,,,
ERR-003,接口错误口径,接口分层-业务自有接口（非中台规范）,集成,§文档附件-接口错误-约定-自有接口,品类同步等内部接口可使用自有 error 字符串，不作为中台强制规范，但须在内部文档约定。,内部 API 文档存在。,前后端对同一 error 语义一致；监控不把内部 error 与中台 code 混为一谈。,,,,
ERR-004,接口错误口径,HTTP-400 请求不合法,集成,§文档附件-接口错误-HTTP语义-400,HTTP 400 表示请求参数不合法或签名参数错误，须在日志可定位原因。,可发送缺参或非法 file_id 请求。,返回 400 且消息或日志指明字段；不误判为 502。,,,,
ERR-005,接口错误口径,HTTP-403 拒绝执行,集成,§文档附件-接口错误-HTTP语义-403,HTTP 403 表示策略拒绝或无权限（含代理白名单等）。,可模拟禁止来源或非法代理。,返回 403 且不泄露敏感密钥；运维知晓放行策略配置项。,,,,
ERR-006,接口错误口径,HTTP-404 资源不存在,集成,§文档附件-接口错误-HTTP语义-404,HTTP 404 表示资源不存在或未就绪（如文件未生成）。,可请求不存在的 file_id 或未初始化文档。,返回 404 与文案一致；前端提示用户先保存或重试初始化。,,,,
ERR-007,接口错误口径,HTTP-502 网关或上游失败,集成,§文档附件-接口错误-HTTP语义-502,HTTP 502 表示网关或上游失败（网络、中台不可用、转换失败等）。,可断开中台或模拟上游失败。,返回 502 且有可恢复提示；支持重试或降级路径记录。,,,,
ERR-008,接口错误口径,排查入口-错误码说明/回调错误码/证书,集成,§文档附件-接口错误-文档中台侧错误与排查入口,排障须可索引至《错误码说明》《回调错误码》及证书管理章节。,运维手册已收录链接或纸质章节号。,演练一次故障：能在 15 分钟内定位到对应文档条目（抽查）。,,,,
RISK-001,风险与建议,当前风险-本地存储与并发,风险,§风险与建议-当前风险-本地存储,风险：本地存储模式在多用户并发下可能覆盖或冲突，需在产品与运维层知情。,部署形态为单机或浏览器本地方案时触发评估。,发布说明或用户须知写明并发限制；若有排队/提示策略则验证可用。,,,,
RISK-002,风险与建议,当前风险-中台证书网闸影响主链路,风险,§风险与建议-当前风险-文档中台,风险：文档中台不可用、证书过期或网闸不通将导致编辑主链路中断。,依赖中台的生产/测试环境。,具备证书到期监控或运维台账；中台故障时有公告或降级提示（最低限度：明确错误不可静默）。,,,,
RISK-003,风险与建议,当前风险-回调不完整导致无法加载保存,风险,§风险与建议-当前风险-回调,风险：回调实现不完整会导致无法加载文档或无法保存新版本。,进入联调阶段。,保存回调与 file/info 回调联调用例全部通过；缺口清单为零或已登记豁免。,,,,
RISK-004,风险与建议,建议-测试环境联调后再生产割接,风险,§风险与建议-建议规划-联调割接,建议：测试环境联调通过后再做生产割接与密钥轮换。,存在双环境。,割接评审记录含测试报告签字；生产变更窗口可追溯。,,,,
RISK-005,风险与建议,建议-范本变量稳定后招标文件能力,风险,§风险与建议-建议规划-招标文件,建议：范本变量与章节结构稳定后再立项「范本→招标文件」能力。,产品路线图评审。,路线图文档更新；本期验收不包含该能力时不产生范围争议。,,,,
RISK-006,风险与建议,建议-后端持久化与权限,风险,§风险与建议-建议规划-持久化权限,建议：逐步迁移后端持久化与统一权限，以降低数据丢失与越权风险。,二期规划已立项或备忘。,架构演进路线图存在里程碑；当前局限在风险登记册可查。,,,,
RISK-007,风险与建议,建议-审批与审计中心,风险,§风险与建议-建议规划-审批审计,建议：引入审批流与更细粒度审计中心以满足政企合规演进。,同上。,决策记录：采纳/暂缓及理由；暂缓时现有审计仍满足本期验收。,,,,
RISK-008,风险与建议,建议-导入解析与模板校验,风险,§风险与建议-建议规划-导入校验,建议：持续提升导入解析准确率与模板质量校验规则，降低编辑返工。,导入功能在用。,导入回归用例集覆盖 doc/docx/pdf 异常样例；失败提示符合 PRD。,,,,
